horizon_years,validated_conservative_treatment,attrition_status,event_window_rows,unique_issuer_clusters
1,0,analysis_ready,3580,509
1,0,calendar_right_censored_not_mature,51,51
1,0,post_link_crsp_return_window_exceeds_available_daily_coverage,504,504
1,0,return_noncomputed_not_computed_missing_issuer_return_inside_window,7,6
1,0,return_noncomputed_not_computed_raw_coverage_incomplete,7,7
1,0,security_link_crsp_source_coverage_unavailable_after_2024_12_31,557,556
1,0,security_link_no_permno_link,229,26
1,0,security_link_no_wrds_link_row,251,61
1,0,security_link_non_common_share_code,582,79
1,0,security_link_permno_without_active_name_at_event_date,4,4
1,1,analysis_ready,138,44
1,1,calendar_right_censored_not_mature,2,2
1,1,post_link_crsp_return_window_exceeds_available_daily_coverage,23,23
1,1,security_link_crsp_source_coverage_unavailable_after_2024_12_31,16,16
1,1,security_link_non_common_share_code,3,1
3,0,analysis_ready,2605,443
3,0,calendar_right_censored_not_mature,1284,636
3,0,post_link_crsp_return_window_exceeds_available_daily_coverage,932,498
3,0,return_noncomputed_not_computed_missing_issuer_return_inside_window,10,7
3,0,return_noncomputed_not_computed_raw_coverage_incomplete,10,6
3,0,security_link_no_permno_link,179,24
3,0,security_link_no_wrds_link_row,237,61
3,0,security_link_non_common_share_code,515,74
3,1,analysis_ready,93,24
3,1,calendar_right_censored_not_mature,43,26
3,1,post_link_crsp_return_window_exceeds_available_daily_coverage,43,29
3,1,security_link_non_common_share_code,3,1
5,0,analysis_ready,1759,391
5,0,calendar_right_censored_not_mature,2449,643
5,0,post_link_crsp_return_window_exceeds_available_daily_coverage,819,434
5,0,return_noncomputed_not_computed_missing_issuer_return_inside_window,9,6
5,0,return_noncomputed_not_computed_raw_coverage_incomplete,10,5
5,0,security_link_no_permno_link,133,21
5,0,security_link_no_wrds_link_row,203,54
5,0,security_link_non_common_share_code,390,66
5,1,analysis_ready,63,19
5,1,calendar_right_censored_not_mature,88,41
5,1,post_link_crsp_return_window_exceeds_available_daily_coverage,28,17
5,1,security_link_non_common_share_code,3,1
